run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues,vectime,vecvalue
ML-KEM-0-20260408-11:11:39-2470,config,,,*.sensor.app[0].senseDelay,5ms,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,*.sensor.app[0].isActuator,false,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,*.mitm.numApps,1,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,*.mitm.app[0].typename,MitMApp,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,*.mitm.app[0].localPort,5000,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,*.mitm.app[0].destPort,6000,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,*.mitm.app[0].destAddress,"""actuator""",,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,*.actuator.numApps,1,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,*.actuator.app[0].typename,SmartSensorApp,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,*.actuator.app[0].localPort,6000,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,*.actuator.app[0].destPort,0,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,*.actuator.app[0].destAddress,"""""",,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,*.actuator.app[0].isActuator,true,,,,,,,,,,,,,
ML-KEM-0-20260408-11:11:39-2470,config,,,*.actuator.app[0].actuateDelay,20ms,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,runattr,,,configname,Sifresiz_Zafiyet_Testi,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,runattr,,,datetime,20260408-11:07:35,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,runattr,,,datetimef,20260408-110735,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,runattr,,,experiment,Sifresiz_Zafiyet_Testi,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,runattr,,,inifile,omnetpp.ini,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,runattr,,,iterationvars,,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,runattr,,,iterationvarsd,,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,runattr,,,iterationvarsf,,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,runattr,,,measurement,,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,runattr,,,network,AdvancedSecurityNetwork,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,runattr,,,processid,2444,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,runattr,,,repetition,0,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,runattr,,,replication,#0,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,runattr,,,resultdir,results,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,runattr,,,runnumber,0,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,runattr,,,seedset,0,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,description,Sifreleme yok. MitM saldirisi devreye giriyor (Etkilerini izliyoruz).,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,*.sensor.app[0].cryptoType,"""None""",,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,*.sensor.app[0].packetSize,50B,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,*.sensor.app[0].cryptoCpuDelay,0ms,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,*.actuator.app[0].cryptoType,"""None""",,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,*.actuator.app[0].cryptoCpuDelay,0ms,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,network,AdvancedSecurityNetwork,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,ned-path,.:/home/uzai/yga/omnet/inet/src,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,sim-time-limit,100s,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,output-scalar-file,results/Sifresiz_Zafiyet_Testi-0.sca,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,output-vector-file,results/Sifresiz_Zafiyet_Testi-0.vec,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,*.configurator.typename,Ipv4NetworkConfigurator,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,**.wlan[*].typename,Ieee80211Interface,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,**.wlan[*].mac.typename,Ieee80211Mac,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,**.wlan[*].radio.typename,Ieee80211ScalarRadio,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,**.wlan[*].mgmt.typename,Ieee80211MgmtAdhoc,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,**.wlan[*].agent.typename,,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,**.radioMedium.backgroundNoise.power,-90dBm,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,*.sensor.numApps,1,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,*.sensor.app[0].typename,SmartSensorApp,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,*.sensor.app[0].localPort,4000,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,*.sensor.app[0].destPort,5000,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,*.sensor.app[0].destAddress,"""mitm""",,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,*.sensor.app[0].sendInterval,1s,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,*.sensor.app[0].senseDelay,5ms,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,*.sensor.app[0].isActuator,false,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,*.mitm.numApps,1,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,*.mitm.app[0].typename,MitMApp,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,*.mitm.app[0].localPort,5000,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,*.mitm.app[0].destPort,6000,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,*.mitm.app[0].destAddress,"""actuator""",,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,*.actuator.numApps,1,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,*.actuator.app[0].typename,SmartSensorApp,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,*.actuator.app[0].localPort,6000,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,*.actuator.app[0].destPort,0,,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,*.actuator.app[0].destAddress,"""""",,,,,,,,,,,,,
Sifresiz_Zafiyet_Testi-0-20260408-11:07:35-2444,config,,,*.actuator.app[0].isActuator,true,,,,,,,,,,,,,
